OBJECTID,Type,Name,NHLE link,Longitude,Latitude
44,Parks & Gardens,ST PAUL'S WALDEN BURY,https://historicengland.org.uk/listing/the-list/list-entry/1000150,-0.27060276,51.88274614
45,Parks & Gardens,GODINTON PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000151,0.834623256,51.15897579
46,Parks & Gardens,HEVER CASTLE,https://historicengland.org.uk/listing/the-list/list-entry/1000152,0.119994502,51.18950392
47,Parks & Gardens,PENSHURST PLACE,https://historicengland.org.uk/listing/the-list/list-entry/1000153,0.187988095,51.18256801
48,Parks & Gardens,BLICKLING HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000154,1.219164352,52.81590178
49,Parks & Gardens,SHRUBLAND HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000155,1.10019451,52.13350792
50,Parks & Gardens,MUNSTEAD WOOD,https://historicengland.org.uk/listing/the-list/list-entry/1000156,-0.59608585,51.1746865
51,Parks & Gardens,GOODWOOD HOUSE,https://historicengland.org.uk/listing/the-list/list-entry/1000157,-0.74012393,50.87913724
52,Parks & Gardens,GRAVETYE MANOR,https://historicengland.org.uk/listing/the-list/list-entry/1000158,-0.057158851,51.0846989
53,Parks & Gardens,LEONARDSLEE,https://historicengland.org.uk/listing/the-list/list-entry/1000159,-0.255181845,51.01986215
54,Parks & Gardens,NYMANS,https://historicengland.org.uk/listing/the-list/list-entry/1000160,-0.196166278,51.04889501
55,Parks & Gardens,PARHAM,https://historicengland.org.uk/listing/the-list/list-entry/1000161,-0.493302589,50.91782317
56,Parks & Gardens,PETWORTH HOUSE,https://historicengland.org.uk/listing/the-list/list-entry/1000162,-0.624434306,50.996735
57,Parks & Gardens,ROTHERFIELD PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000163,-1.007334095,51.0859266
58,Parks & Gardens,CHARLESTON MANOR,https://historicengland.org.uk/listing/the-list/list-entry/1000164,0.155185502,50.78560705
59,Parks & Gardens,Bramshill Park,https://historicengland.org.uk/listing/the-list/list-entry/1000165,-0.899040426,51.33082378
60,Parks & Gardens,BROADLANDS,https://historicengland.org.uk/listing/the-list/list-entry/1000166,-1.494245173,50.97898957
61,Parks & Gardens,EXBURY HOUSE,https://historicengland.org.uk/listing/the-list/list-entry/1000167,-1.402926198,50.79967976
62,Parks & Gardens,HOUGHTON LODGE,https://historicengland.org.uk/listing/the-list/list-entry/1000168,-1.510293819,51.0958762
63,Parks & Gardens,PYLEWELL PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000169,-1.501244732,50.76262398
64,Parks & Gardens,ARUNDEL CASTLE,https://historicengland.org.uk/listing/the-list/list-entry/1000170,-0.56030288,50.871932
65,Parks & Gardens,EUSTON PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000171,0.799230045,52.37154912
66,Parks & Gardens,FANHAMS HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000172,-0.012750944,51.82282279
67,Parks & Gardens,BENHAM PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000173,-1.369930225,51.40334114
68,Parks & Gardens,GREENWICH PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000174,0.001111392,51.47730307
69,Parks & Gardens,HAMPTON COURT HOUSE,https://historicengland.org.uk/listing/the-list/list-entry/1000175,-0.343739126,51.40853896
70,Parks & Gardens,TYLNEY HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000176,-0.976693315,51.29470527
71,Parks & Gardens,BRICKWALL,https://historicengland.org.uk/listing/the-list/list-entry/1000177,0.611885213,50.98238482
72,Parks & Gardens,VICTORIA PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000178,-0.040332062,51.53613145
73,Parks & Gardens,SCOTNEY CASTLE,https://historicengland.org.uk/listing/the-list/list-entry/1000179,0.406525045,51.09219659
74,Parks & Gardens,NORTHBOURNE COURT,https://historicengland.org.uk/listing/the-list/list-entry/1000180,1.347248073,51.22165292
75,Parks & Gardens,SISSINGHURST CASTLE,https://historicengland.org.uk/listing/the-list/list-entry/1000181,0.579688635,51.11468381
76,Parks & Gardens,COBHAM HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000182,0.421467829,51.39285851
77,Parks & Gardens,KNOLE,https://historicengland.org.uk/listing/the-list/list-entry/1000183,0.209701635,51.26313573
78,Parks & Gardens,LEEDS CASTLE,https://historicengland.org.uk/listing/the-list/list-entry/1000184,0.62872492,51.24939123
79,Parks & Gardens,FELBRIGG HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000185,1.262980521,52.89503265
80,Parks & Gardens,ICKWORTH HOUSE,https://historicengland.org.uk/listing/the-list/list-entry/1000186,0.650927104,52.2227788
81,Parks & Gardens,HEYDON HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000187,1.143158737,52.80059294
82,Parks & Gardens,SOMERLEYTON PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000188,1.672240191,52.51999877
83,Parks & Gardens,WAKEHURST PLACE,https://historicengland.org.uk/listing/the-list/list-entry/1000189,-0.093218594,51.06474332
84,Parks & Gardens,WEST DEAN,https://historicengland.org.uk/listing/the-list/list-entry/1000190,-0.768059932,50.90053256
85,Parks & Gardens,ALTON TOWERS,https://historicengland.org.uk/listing/the-list/list-entry/1000191,-1.883642662,52.98471501
86,Parks & Gardens,HARTWELL HOUSE,https://historicengland.org.uk/listing/the-list/list-entry/1000192,-0.843986903,51.80620101
87,Parks & Gardens,ROCKBEARE MANOR,https://historicengland.org.uk/listing/the-list/list-entry/1000193,-3.376492665,50.73778329
88,Parks & Gardens,WANSTEAD PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000194,0.032857753,51.56840155
89,Parks & Gardens,BENENDEN,https://historicengland.org.uk/listing/the-list/list-entry/1000195,0.572499086,51.07631199
90,Parks & Gardens,PITTVILLE PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000196,-2.072419924,51.90986787
91,Parks & Gardens,HYLANDS PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000197,0.436604643,51.71131838
92,Parks & Gardens,STOWE,https://historicengland.org.uk/listing/the-list/list-entry/1000198,-1.017086544,52.03894582
93,Parks & Gardens,HAWKSTONE,https://historicengland.org.uk/listing/the-list/list-entry/1000199,-2.617391126,52.86635884
94,Parks & Gardens,THE HIGH BEECHES,https://historicengland.org.uk/listing/the-list/list-entry/1000200,-0.180340548,51.0613569
95,Parks & Gardens,BELPER CEMETERY,https://historicengland.org.uk/listing/the-list/list-entry/1000201,-1.477352289,53.03729895
96,Parks & Gardens,HORSTED PLACE,https://historicengland.org.uk/listing/the-list/list-entry/1000202,0.090145756,50.94659917
97,Parks & Gardens,HEATHFIELD PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000203,0.26744542,50.96527113
98,Parks & Gardens,PRESTON MANOR AND PRESTON PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000204,-0.146973359,50.84122576
99,Parks & Gardens,"THE ROYAL PAVILION, BRIGHTON",https://historicengland.org.uk/listing/the-list/list-entry/1000205,-0.138065487,50.82271931
100,Parks & Gardens,HATFIELD PRIORY,https://historicengland.org.uk/listing/the-list/list-entry/1000206,0.601520807,51.76805377
101,Parks & Gardens,"NEW HALL, BOREHAM",https://historicengland.org.uk/listing/the-list/list-entry/1000207,0.511052643,51.76375383
102,Parks & Gardens,COLCHESTER CASTLE PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000208,0.902545894,51.89310124
103,Parks & Gardens,LAYER MARNEY TOWER,https://historicengland.org.uk/listing/the-list/list-entry/1000209,0.796715438,51.82317841
104,Parks & Gardens,BLOOMSBURY SQUARE,https://historicengland.org.uk/listing/the-list/list-entry/1000210,-0.122897377,51.51895711
105,Parks & Gardens,DANSON PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000211,0.115856709,51.45515335
106,Parks & Gardens,"CORAM'S FIELDS, with MECKLENBURGH and BRUNSWICK SQUARES",https://historicengland.org.uk/listing/the-list/list-entry/1000212,-0.120369561,51.52433912
107,Parks & Gardens,RUSSELL SQUARE,https://historicengland.org.uk/listing/the-list/list-entry/1000213,-0.126085325,51.52170584
108,Parks & Gardens,STRAWBERRY HILL,https://historicengland.org.uk/listing/the-list/list-entry/1000214,-0.334356506,51.43763137
109,Parks & Gardens,EMBLEY PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000215,-1.539940055,50.98488849
110,Parks & Gardens,HURSTBOURNE PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000216,-1.369251358,51.22457013
111,Parks & Gardens,PISHIOBURY,https://historicengland.org.uk/listing/the-list/list-entry/1000217,0.143176292,51.79816942
112,Parks & Gardens,TRING PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000218,-0.654316612,51.78709069
113,Parks & Gardens,CASSIOBURY PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000219,-0.429941409,51.66535475
114,Parks & Gardens,POLES PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000220,-0.037770555,51.82743333
115,Parks & Gardens,GREAT MAYTHAM,https://historicengland.org.uk/listing/the-list/list-entry/1000221,0.6317219,51.04688639
116,Parks & Gardens,WOODVALE CEMETERY,https://historicengland.org.uk/listing/the-list/list-entry/1000222,-0.118282936,50.83554138
117,Parks & Gardens,SQUERRYES COURT,https://historicengland.org.uk/listing/the-list/list-entry/1000223,0.062453158,51.2619921
118,Parks & Gardens,LYNFORD HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000224,0.679392603,52.50936921
119,Parks & Gardens,DITCHINGHAM HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000225,1.417463,52.48352226
120,Parks & Gardens,CHILTON HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000226,0.75411559,52.05131849
121,Parks & Gardens,CHRISTCHURCH MANSION,https://historicengland.org.uk/listing/the-list/list-entry/1000227,1.155834652,52.06364137
122,Parks & Gardens,MELFORD HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000228,0.728365447,52.08378929
