OBJECTID,Type,Name,Longitude,Latitude
36436,Ancient Woodland,KNOTT COPPICE,-3.030737981,54.3471875
36437,Ancient Woodland,KNOTT COPPICE,-3.026504031,54.3532273
36438,Ancient Woodland,KNOTT COPPICE,-3.022848803,54.34544813
36439,Ancient Woodland,KNOTT COPPICE,-3.020103572,54.34392551
36440,Ancient Woodland,KNOTT COPPICE,-3.032139716,54.34480279
36441,Ancient Woodland,KNOTT COPPICE,-3.024951959,54.34341706
36442,Ancient Woodland,KNOTT COPPICE,-3.029699307,54.34317891
36443,Ancient Woodland,KNOTT COPPICE,-3.030915553,54.34874982
36444,Ancient Woodland,KNOTT COPPICE,-3.028910671,54.34917138
36445,Ancient Woodland,KNOTT COPPICE,-3.027990752,54.3511475
36446,Ancient Woodland,KNOTT COPPICE,-3.027729119,54.35176088
36447,Ancient Woodland,KNOTT COPPICE,-3.026863225,54.35343995
36448,Ancient Woodland,KNOTT WOOD,-2.039940539,53.73857719
36449,Ancient Woodland,KNOTT WOOD,-0.382800388,51.80821733
36450,Ancient Woodland,KNOTTS WOOD,-2.874399793,54.58858905
36451,Ancient Woodland,KNOTTS WOOD AND BINNEY BANK,-2.664384407,54.88130179
36452,Ancient Woodland,KNOWL HEIGHTS WOOD,-2.478992819,53.69650485
36453,Ancient Woodland,KNOWL WOOD,-3.037919838,50.99699799
36454,Ancient Woodland,KNOWL WOOD,-2.398856447,52.67273303
36455,Ancient Woodland,KNOWLE CORNER WOODS,0.560780639,50.97521527
36456,Ancient Woodland,KNOWLE CORNER WOODS,0.561341669,50.97919636
36457,Ancient Woodland,KNOWLE END WOOD,-1.444627238,52.13347628
36458,Ancient Woodland,KNOWLE END WOOD,-1.449030132,52.12948712
36459,Ancient Woodland,KNOWLE WOOD,-2.94659855,52.28653829
36460,Ancient Woodland,KNOWLE WOOD,-2.548957267,52.00637553
36461,Ancient Woodland,KNOWLE WOOD,-2.805843352,51.32945399
36462,Ancient Woodland,KNOWLE WOOD,-2.58848475,51.18147292
36463,Ancient Woodland,KNOWLE WOOD,0.655586909,50.87624633
36464,Ancient Woodland,KNOWLE WOOD,1.136594453,51.20600497
36465,Ancient Woodland,KNOWLE WOOD,1.138712104,51.20766614
36466,Ancient Woodland,KNOWLE WOOD,-1.726423626,54.20691017
36467,Ancient Woodland,KNOWLE WOOD,-2.945251592,52.28524546
36468,Ancient Woodland,KNOWLE WOOD,-2.549054694,52.0036239
36469,Ancient Woodland,KNOWLE WOOD,-2.587695287,51.18239408
36470,Ancient Woodland,KNOWLE/DEWERSTONE WOODS,-4.063523249,50.45738427
36471,Ancient Woodland,KNOWLE/DEWERSTONE WOODS,-4.068244563,50.45838871
36472,Ancient Woodland,KNOWLE/HIGHER HOUSE WOODS,-2.000477471,53.70128343
36473,Ancient Woodland,KNOWLE/HIGHER HOUSE WOODS,-2.005400212,53.70114847
36474,Ancient Woodland,KNOWLE/TIMBER/LEE WOODS,-4.023180895,50.97294219
36475,Ancient Woodland,KNOWLEHILL WOOD,0.049554023,51.37309338
36476,Ancient Woodland,KNOWLEHILL WOOD,0.046676117,51.37267607
36477,Ancient Woodland,KNOWLEHILL WOOD,0.048048131,51.37315569
36478,Ancient Woodland,Knowles Copse,-1.095919161,50.68737184
36479,Ancient Woodland,KNOWLES WOOD,-2.732491902,53.63595314
36480,Ancient Woodland,KNOWLES WOOD,-1.732337708,52.26724092
